hostname,port,ip,asn,isp,country,city,ping_ms,stratum_ms,verification
solo.atlaspool.io,3333,166.117.239.148,AS16509,"Amazon.com, Inc.",United States,Seattle,13.0,65.0,PASS
ausolo.ckpool.org,3333,203.18.30.48,AS133159,Mammoth Media Pty Ltd,Australia,Brisbane,357.0,1009.0,PASS
stratum.kano.is,3333,66.85.130.202,AS20454,Secured Servers LLC,United States,Phoenix,77.0,158.0,UNKNOWN
eusolo.ckpool.org,3333,57.129.83.51,AS16276,OVH SAS,Germany,Frankfurt am Main,104.0,215.0,PASS
eu.findmyblock.xyz,3335,213.44.102.203,AS5410,Bouygues Telecom ISP,France,Ligny-en-Barrois,104.0,226.0,PASS
solo-de.solohash.co.uk,3333,57.129.80.162,AS16276,OVH SAS,Germany,Frankfurt am Main,103.0,209.0,FAIL
solo.solohash.co.uk,3333,51.155.189.146,AS13037,Zen Internet Ltd,United Kingdom,London,94.0,196.0,FAIL
pool.solomining.de,3333,172.105.249.253,AS63949,Akamai Technologies,Germany,Frankfurt am Main,103.0,206.0,PASS
btc-eu.luckymonster.pro,7112,45.95.172.24,AS29066,Host Europe,France,Strasbourg,196.0,352.0,FAIL
btc.zsolo.bid,6057,92.119.126.14,AS29066,velia.net Internetdienste GmbH,France,Strasbourg,106.0,216.0,FAIL
solo.ckpool.org,3333,15.204.102.129,AS16276,OVH SAS,United States,Hillsboro,240.0,354.0,PASS
parasite.wtf,42069,104.176.44.82,AS7018,"AT&T Enterprises, LLC",United States,Madison,45.0,93.0,PASS
public-pool.io,21496,38.51.144.240,AS399898,Conexon Connect,United States,Concord,,384.0,PASS
solo.cat,3333,195.35.11.101,AS47583,HOSTINGER US,United States,Phoenix,87.0,153.0,PASS
solo-ca.solohash.co.uk,3333,148.113.191.229,AS16276,OVH SAS,Canada,Beauharnois,26.0,56.0,FAIL
btc.luckymonster.pro,7112,104.168.100.92,AS36352,HostPapa,United States,Buffalo,31.0,78.0,FAIL
